"gene name" "logFC"	"P.Value"	"adj.P.Val"
"KPNA4"	1.27238734301344	0.00319262427522206	0.0062911087082905
"PRR36"	1.09833366909744	0.00319373571186739	0.0062911087082905
"IFNAR1"	1.42106864951591	0.00320905775035964	0.00631740045747723
"WDFY1"	1.19388334898461	0.00323537638183661	0.00636529461592578
"NUDT3"	1.3278722110348	0.00325645197273429	0.00640282105763799
"GNPTG"	-0.994564598485578	0.00326220547496658	0.00640947483826985
"TMEM192"	1.31191269670305	0.00326384323586795	0.00640947483826985
"PTCD3"	1.22605884913573	0.00326678547713166	0.00641131701922956
"FAM220A"	1.11015257010008	0.00327514513756224	0.00642378252302981
"PTPRG"	1.18922586489881	0.00328260005789223	0.00643445930465518
"ACAT1"	1.40956062793911	0.00335288525396537	0.0065682057118403
"EIF2AK4"	1.0545238613113	0.00337946326079153	0.00661514036229686
"RHPN1"	-1.26008706651261	0.00338097983505951	0.00661514036229686
"PTCHD1"	1.85686898500695	0.00339353493463106	0.00663564685567527
"MNT"	0.868384356038384	0.00339891890546766	0.00664211458679966
"FMNL2"	1.35177831654908	0.00341994189938768	0.00667614720396854
"LOC728743"	0.870769945776777	0.00342050805479976	0.00667614720396854
"GNPNAT1"	1.53960527876141	0.00343154300865185	0.00669360127114468
"SNAP29"	0.925937246153009	0.00344104575621989	0.00670804715060782
"RPN1"	1.00650645119144	0.00346725858296329	0.00675153229258928
"FMNL1"	-1.01904910486177	0.00346933794302153	0.00675153229258928
"FBXO45"	1.22240686052032	0.00346968399156511	0.00675153229258928
"KRI1"	1.32196287023535	0.00350542878282287	0.00681694022872363
"RAB3D"	0.874583152694794	0.0035087414901641	0.00681923695445624
"TUBE1"	1.34099950913987	0.00352038482733945	0.00683771163488701
"ZC3H3"	1.00416572837038	0.00352261540355764	0.00683789240047384
"LRRC47"	0.867251187888576	0.00352764975721767	0.0068435121730378
"STK17A"	1.60450079560011	0.00354342442242909	0.00686994831960647
"KPNA6"	0.966919699817981	0.00356892222706294	0.00691519212863377
"CUL5"	1.63531853587779	0.0035726701008802	0.00691826371229768
"SIAH2"	0.962646285363814	0.00358496097669149	0.00693786458828558
"GALNT17"	-1.82783799891615	0.00361886055772741	0.00699923514157798
"ENDOD1"	-1.51673610832241	0.00363787627725426	0.00703176206098874
"CS"	0.98432096517206	0.00364318856556676	0.00703777791138168
"ABRAXAS2"	1.10849895760874	0.00365668739073558	0.00705959140794395
"TMED10"	1.52061713765478	0.00366496303501073	0.00707130081363047
"MBD6"	1.22581906183879	0.0036729737829003	0.00708248531133095
"LMAN1"	1.51514088955303	0.00368483483233148	0.00709852014260201
"LAMB1"	1.3007572217803	0.00368572740133227	0.00709852014260201
"FRY"	1.36522897908637	0.00371377619757952	0.00714823709750714
"PLEKHG3"	-1.50947091458643	0.00375440883704381	0.00722210094389847
"CUL9"	0.980177547074891	0.00377538357438389	0.00725808416734018
"H2AZ1"	1.31579720378552	0.00378122692270253	0.00726495190734258
"RASL10B"	-0.904228581260026	0.00379542347267015	0.00728785095382462
"UGCG"	1.29876771930902	0.00379948723964149	0.00728954258914034
"PDCD5"	1.27032451768987	0.00380086184391562	0.00728954258914034
"NPTX1"	-2.04648546577543	0.00380614245889963	0.00729529642062307
"C5orf15"	1.46693047779856	0.00381046588283615	0.00729920979592386
"EGLN1"	1.24783478699201	0.00383466147680226	0.00733778441048903
"SF3B5"	1.00259508347009	0.00383519085162165	0.00733778441048903
"DOK6"	1.91323403360648	0.00383952348372661	0.00734168297934335
"WSCD1"	1.75949528554681	0.00385053374061192	0.00735833777551823
"MTOR"	0.940281804061525	0.00391017223609154	0.00746784536313841
"MTMR9"	1.58212574883658	0.00392864717096123	0.00749865292357098
"HDAC1"	1.49512991539016	0.00395543290704589	0.00754527720312452
"PPIG"	1.34905644036608	0.00395918736877751	0.00754609982467293
"PAQR8"	-1.40801692774636	0.00396058193361233	0.00754609982467293
"YIPF4"	1.47840636656584	0.00399255056308507	0.00760248169720782
"HSPA4"	1.30520428457832	0.00400310444960161	0.0076180435064102
"DDI2"	1.16467985497819	0.00401428039589076	0.00763476990871257
"ANTXR1"	1.51206345055028	0.00404227376897715	0.00768344253532853
"PSMA2"	1.41152590924416	0.00405473158753876	0.00770254533761075
"HSPA13"	1.71460596491423	0.00406998866572691	0.00772693990602989
"FUBP3"	1.09959556141631	0.00407511464119766	0.00773208288089639
"ZNF710"	1.10982278966532	0.00407975260660868	0.0077362943619094
"GNAQ"	1.75637355823513	0.0040885966316463	0.00774847193402637
"PDIA3P1"	1.13455077957706	0.00410324629723291	0.00777163108635174
"PAK1IP1"	1.64707718203403	0.00411728428464856	0.00779360498614836
"CACUL1"	1.27425804797333	0.00414098903380448	0.00783163726557905
"TYK2"	1.01568260244718	0.00414544796916468	0.00783163726557905
"GPATCH2L"	2.09885930551111	0.00414641382608941	0.00783163726557905
"ASCL1"	1.98228419056178	0.00414716896776834	0.00783163726557905
"UTP3"	1.08720400429949	0.0041497939645336	0.00783197102804895
"RFT1"	0.981641073770838	0.0041709776903374	0.00786730992416824
"ING5"	0.954470614471771	0.00417425294541798	0.00786884806858699
"SLC32A1"	-1.44245731560524	0.00418281525737022	0.0078757635574328
"NXPH3"	1.55672944508093	0.00418284535294727	0.0078757635574328
"CERS4"	0.923585716494273	0.00418903101703899	0.00788277071971042
"DLG3"	1.79585428257664	0.00421623918484139	0.00792930579206797
"ATP1B3"	1.10658184555351	0.00422285990650033	0.00793559484046272
"SDHAF2"	1.21742879606062	0.00422454454933042	0.00793559484046272
"USP35"	0.849599453336051	0.004235790909756	0.00795205112694216
"TENM3"	1.23318882620778	0.00426400773970175	0.00800032889108851
"CLN8"	0.89518578723776	0.00427645161265506	0.00801703371671861
"ENHO"	-0.992963606284792	0.0042779232742853	0.00801703371671861
"TMEM178B"	1.58668560369545	0.00435097592810469	0.0081491639309174
"NRSN1"	-1.2654244084455	0.0043539164940457	0.00814989986217214
"RAP2A"	1.26679061195331	0.00438887225259144	0.00821052768189474
"NPTXR"	-1.02756610555068	0.00441218250305203	0.00824931141277816
"PSMD3"	0.838528032762739	0.00441748584101423	0.00825440257325031
"PNPT1"	1.12227945962306	0.00442218493498483	0.00825835937362316
"SLC30A5"	1.4929234598153	0.00442932980175669	0.00826687633361706
"GNA11"	0.882135252243899	0.00443237975145606	0.00826774508740988
"CDK9"	0.947127914998168	0.0044451723379486	0.00828677523840184
"SEPTIN7P2"	1.25059431634529	0.00445491019224341	0.00830009184914774
"ELL"	0.864134276987059	0.00445994729148561	0.00830463992168944
"ATCAY"	0.96412631951681	0.00448957017006574	0.00835493599420612
"AIDA"	1.71688101705102	0.00451172391785277	0.00839128186814593
"RNF139"	1.37923665132796	0.00451993331420416	0.00840166570141726
"MRPL50"	1.19613198359652	0.00454374333861015	0.00844101912904407
"CAPN15"	0.907704866041771	0.00455015867620879	0.00844803111154493
"ATF6"	1.38492894502031	0.0045852518982488	0.00850342906643193
"XPOT"	1.24027724994887	0.00458531264132388	0.00850342906643193
"PDCD7"	0.915899586733323	0.00461613021182559	0.00855562024775785
"FAM50A"	0.972688716703561	0.0046192575977492	0.00855645920972767
"TALDO1"	1.03271136302747	0.00463217647362862	0.00857542392311224
"SNAPC4"	0.867758718547158	0.00468622068808137	0.00867045690062019
"SMARCA5"	1.5115071577411	0.00469078678249406	0.00867388839144422
"PPIL1"	1.18219665743786	0.00473941299048191	0.00875666566972566
"FAN1"	1.06273583225116	0.00474102686463421	0.00875666566972566
"SEMA6B"	-1.00921238775542	0.00476765416136975	0.00880076495223418
"IGFBP4"	1.12685112914956	0.00477308802125689	0.0088057142906579
"ZNF703"	1.35362295003417	0.00482907203882595	0.00890386250847506
"PRPF4B"	2.15408516879717	0.00483776246411602	0.00891474776653637
"WNT7A"	1.15475661349187	0.00484464951580042	0.00892229925218512
"ZHX3"	0.921654881569343	0.00486125814936209	0.00894773579966015
"ZBTB11"	1.50942327196261	0.00487688183971342	0.00897133122785695
"ERVK13-1"	1.13849244318252	0.00489298774871062	0.00899578609662372
"MRM2"	0.834327545583108	0.00490972404325003	0.00902137117424288
"CDH22"	-1.88822697395562	0.00491755414557814	0.00903057159110475
"PLEKHM2"	-0.899349455111616	0.00497081407267738	0.00912314068760466
"PDS5B"	1.36221745918279	0.00499057451624562	0.00915415589304458
"MCAM"	-1.099939093958	0.0049942167482582	0.00915558703591862
"PLEKHA2"	-1.48046603262245	0.00502370265840709	0.00920436701274014
"PSMD14"	1.08236085047348	0.00503547771258623	0.00922066010450105
"LRP1"	1.01443789006614	0.00504362311205391	0.00923029195392475
"BRD4"	0.976324063862943	0.00508544791576456	0.00930151394084096
"LEPROTL1"	1.6195348041736	0.00509919841388925	0.00932133470058955
"UQCC2"	0.86411137710137	0.00515011074155503	0.00940902584936296
"NCAPD2"	1.72295037885071	0.00518603958490323	0.00946925835165834
"ATP13A4"	-1.62106199973244	0.00520009960049806	0.00948951433085756
"MOAP1"	-1.01319654953085	0.00522980869368125	0.00953828848978696
"ATP1A2"	-1.88089138781184	0.00523352694372702	0.00953963116409272
"SAFB2"	0.907308900523891	0.00524710883833905	0.00955419537182987
"TMEM200C"	1.55160275314979	0.00524749023704441	0.00955419537182987
"LINC02693"	0.972516785984342	0.005251147510724	0.00955541574903645
"SDK1"	3.31697698175823	0.00525535193725313	0.00955762981652801
"DDB1"	0.848298044097443	0.00528079153078308	0.00959566021818353
"SRSF9"	0.906461014036663	0.00528226247084126	0.00959566021818353
"PFDN4"	1.61183735242849	0.00529818711407321	0.00961912632118059
"TIPRL"	1.46797911597425	0.00532238082972069	0.00965757020662308
"FAM98B"	1.53438118249628	0.00532564508608899	0.00965801509659789
"THNSL1"	1.60417622260811	0.00533024768858779	0.00966088518741776
"MAF1"	0.909254427182598	0.00536533261333091	0.0097189688731855
"RB1"	1.66468294473169	0.00538571001369064	0.00975036012099397
"SMG9"	0.889988192708184	0.00540913677709029	0.00978723334271032
"DDX10"	0.975285082990382	0.00542839808722507	0.00981653221087224
"ANP32B"	1.50637302389206	0.00545478564571171	0.00985867755967896
"FGD6"	1.08825657690256	0.00548780998792742	0.00990098610032155
"LSM3"	1.17699475177323	0.00549076772926567	0.00990098610032155
"ABCB10"	1.53626736815105	0.00549170315835235	0.00990098610032155
"ILF3-DT"	0.837836536427753	0.00549364450099083	0.00990098610032155
"SELENOO"	0.938834495408655	0.00549366999939692	0.00990098610032155
"TMEM132D"	-1.60034135198004	0.00553841298548703	0.00997600402059291
"MARS1"	0.796332512622766	0.00555998460439579	0.0100092238319989
"FXYD7"	-1.15990577984578	0.00565911277904159	0.0101819470079606
"NAP1L1"	1.50263190442935	0.00572148282040635	0.0102883774831253
"TMEM167A"	1.49206202086257	0.0057362801328376	0.0103091910926671
"HIP1R"	1.10906683065022	0.00577884621291626	0.0103798590876581
"ATAD2"	2.13566402900594	0.00580829107989603	0.0104268929094205
"ARFGEF3"	1.45035562341144	0.00587371626600258	0.01053842867916
"PFN1"	0.904478406956389	0.00590039272169497	0.0105803566797658
"GOLGA5"	1.18561672155918	0.00592192473201069	0.0106130180491329
"NCR3LG1"	2.15053671974273	0.00593782905659703	0.010635562795103
"CIAO1"	0.893928170797771	0.00598084184796628	0.0107066105605171
"GNS"	1.08467021078206	0.00600200193991825	0.0107384810994399
"DCK"	1.61986014292747	0.00600689011074667	0.0107412193763435
"FKBP4"	0.841406104185497	0.00601208595532332	0.0107445044531169
"GNG12"	1.53990384805621	0.00602638357446769	0.0107640430232954
"ACTR1B"	-0.801482978366037	0.00606757199045299	0.0108315640610821
"TMEM65"	1.56941418993406	0.00610344769057657	0.0108895310441464
"THRA"	0.792364368171697	0.00611370747131999	0.0109017559647451
"RRP7A"	0.770050478303632	0.0061229442424063	0.0109121440843776
"TOMM70"	1.34215623838082	0.00615006056087026	0.010954367335314
"TARBP1"	1.41678470841068	0.00617518515313222	0.0109929979437228
"RAB12"	1.08318573500378	0.00619136632771335	0.011009776344364
"SLF2"	1.27473145831478	0.00619149348030976	0.011009776344364
"NDN"	0.996785947448097	0.00620880738330167	0.0110344304551011
"CAMLG"	1.06348078168138	0.0062171521350502	0.0110431258634234
"TEAD1"	1.70158165622929	0.00624225899347697	0.0110815685461337
"DENND11"	1.0884478992007	0.00627666218955726	0.0111364627534075
"NELFB"	0.8489805374318	0.0063351151733886	0.0112339431483759
"DYNLT3"	-1.96784183042669	0.00641160545805494	0.0113632830251068
"WBP11"	0.852499668245145	0.00642305202120386	0.0113772665646906
"PCYOX1"	1.44893841931976	0.00643182776378369	0.0113865063731843
"ACO2"	-0.81427030252409	0.00647009322272669	0.0114479138382205
"ANKMY2"	1.39627687840666	0.00648025944698176	0.0114595632785487
"PSMD2"	1.01590425854091	0.0065265368175191	0.0115350228062119
"GRIP2"	1.12641054847817	0.00656148974508717	0.0115849820678771
"USP32P2"	1.41248175225277	0.00656204673554026	0.0115849820678771
"MRPL19"	1.24983786039681	0.00656931653450062	0.011586893155865
"XAB2"	0.913744060394798	0.00657037329938703	0.011586893155865
"TOMM7"	1.32800232874159	0.00658032990259875	0.0115980580487126
"DRG1"	0.950034956692172	0.00658588900691869	0.0116014641702274
"NAP1L2"	-1.52365804891705	0.00661913821563683	0.0116536175849324
"KRR1"	1.31739241549042	0.00664080595063824	0.0116837066001851
"GMCL1"	1.34317382820769	0.00664353307462855	0.0116837066001851
"PLEKHJ1"	0.926000474704545	0.00668256065029512	0.011745885450711
"UVRAG"	0.948501269831457	0.00670245340163727	0.0117743813464237
"PGAP6"	0.928205624747337	0.00674439632033743	0.0118415608280787
"KLHDC2"	0.90551725003878	0.00676628831866061	0.0118734812569365
"ZNF441"	1.67982407502928	0.00682749282526405	0.0119743144451862
"MRPS30"	1.08219665496957	0.00684944998173027	0.012002085138972
"SART1"	0.874481074956101	0.00685357665956022	0.012002085138972
"CIC"	1.16690907179596	0.00685608666324345	0.012002085138972
"UBC"	0.933689491557677	0.00685833436512685	0.012002085138972
"DUSP3"	-1.04125384515207	0.006871722657664	0.0120189397385824
"PNMA1"	0.881757907778783	0.00688910560163583	0.0120427589178322
"TSC22D1"	0.901641310466636	0.0069391083949226	0.0121235432852853
"ZYG11B"	1.62747009288063	0.00703810139936907	0.0122897851400555
"TBL3"	0.809553058371448	0.00704904316058211	0.0123021762524289
"ABHD17C"	1.31878558710457	0.00705788956834235	0.0123108989798949
"DUSP16"	1.22483163188004	0.00706316399342673	0.0123133850762791
"FAM8A1"	1.37629218534875	0.00708320604625219	0.012341599205861
"IGHMBP2"	0.748142273944659	0.00711800881747259	0.0123954873201387
"CSMD1"	1.30046363879339	0.00715099182285146	0.0124461495328084
"KCNA6"	1.44544518402153	0.00715693719177397	0.0124497238045051
"SLC15A4"	0.938991008396155	0.0071613844148503	0.0124506895342968
"RFNG"	0.926575620174791	0.00725260311951513	0.0125928539416386
"ANKS1A"	0.86447312953064	0.00725467263881444	0.0125928539416386
"RNF115"	1.10990263413982	0.00725496399326039	0.0125928539416386
"SLC35F1"	1.14788087149018	0.00727967343655223	0.0126285188971838
"COPG2"	1.16218983995484	0.00728340649118605	0.0126285188971838
"ATP9A"	1.17046933556769	0.007298348857662	0.01264757204532
"TMED9"	0.871300987982915	0.00735861559715287	0.0127451062779058
"KHSRP"	0.92448820874971	0.00738186167734876	0.0127784499490469
"ADGRB3"	1.04948762635353	0.00739201595904581	0.0127891071135682
"ULK2"	1.65852310508444	0.00741975813388129	0.0128301655515061
"NFYB"	1.32348352493827	0.00748797865760333	0.0129411365346694
"CTSZ"	-1.15437886699701	0.00750286972822869	0.0129416474281694
"VCPIP1"	1.36508288643496	0.00750635510219648	0.0129416474281694
"GID4"	0.871796251911274	0.00750674269925295	0.0129416474281694
"HTRA1"	-1.63302537700221	0.00750788551092151	0.0129416474281694
"PLEKHH1"	-1.41552504162593	0.00750850191518676	0.0129416474281694
"HS6ST1"	0.941577843794118	0.00751361315498747	0.0129434832971486
"SPOPL"	1.34644518168371	0.00757216445833367	0.0130373272885949
"BRAF"	1.26086599089887	0.0076222184315497	0.0131164479626291
"SLC20A1"	0.888627441224794	0.00765521987004817	0.0131661550345613
"ARL14EP"	1.25458751020942	0.00767313913782363	0.0131898829134324
"GRM3"	1.02330562579001	0.00769662619974034	0.0132231510273734
"SLC31A1"	0.818152104727463	0.00773010117002599	0.0132711759321055
"MYSM1"	1.34411439541391	0.00773287650435909	0.0132711759321055
"NME3"	0.901948874303527	0.0077387909097337	0.0132742048902081
"TMEM260"	1.22645230375812	0.00774520521457002	0.013278087610616
"TBKBP1"	0.887722005834601	0.00776470382107949	0.0133043853902696
"SLC35F6"	0.757172504263416	0.00780511470009398	0.0133649079154102
"CHST1"	-0.873332585609539	0.00780838164860945	0.0133649079154102
"MBTPS2"	1.35021732668774	0.00782471639766753	0.013385704682427
"LRFN2"	1.04889103568378	0.00783952174611139	0.0134038642788938
"CAMK2N1"	-1.25467387037799	0.00787632860523248	0.0134596021410997
"RANBP2"	1.24843142684377	0.00793835602667951	0.013558356075466
"EAF1"	0.951489900861964	0.00801313170208426	0.0136787664434192
"WDR24"	0.938927035667916	0.00804004515839511	0.0137173890462432
"EIF2B2"	0.813511411305101	0.00809131384405384	0.0137975015922858
"CMTR1"	0.853204730169629	0.00817492209558248	0.0139326455960407
"ZNF335"	0.806358133393466	0.00830185239384641	0.0141414407922868
"EIF1B"	1.05760104783367	0.00836352861027523	0.0142389185866261
"RTL8C"	-0.77027209677803	0.00844325364971273	0.0143670044816122
"PIAS3"	0.857522510370333	0.0084668370096086	0.0143994745314928
"MTCL1"	0.888904414077225	0.00848337767979847	0.0144199389998275
"CDC42BPB"	0.818331340928875	0.00848805295596728	0.014420223795082
"PTPN4"	1.38550090558121	0.00853661988056765	0.0144950355615371
"EIF2AK2"	1.33100304982286	0.00855052198561823	0.0145109389029139
"HSPA8"	0.947844707839869	0.00858270213034389	0.0145525557628936
"PANK4"	0.744220557037536	0.00858414277104726	0.0145525557628936
"FAM160B1"	1.75543373752803	0.00862647918482403	0.014616582050981
"ANKRD24"	-0.951550415054803	0.00868548723269375	0.0147087737731007
"FOXK1"	0.828784882687891	0.00871233967084789	0.0147464415910277
"RAB1A"	1.0405762299319	0.0088150308152625	0.0149123657207957
"MFSD13A"	0.844098516064089	0.0088389668036191	0.0149449549708126
"BPNT2"	1.08848224361609	0.00890129992191578	0.0150423974908656
"OTUD7A"	-0.943738998724161	0.00891651201186901	0.0150546605802055
"EIF5B"	1.09227070845675	0.00891796867755219	0.0150546605802055
"UBE2N"	1.18983809909125	0.00896513954346868	0.0151263087550402
"JUNB"	-0.983208611067762	0.00897683964821403	0.0151380653846266
"RHOBTB3"	1.29742530548339	0.00898772802602778	0.0151484414938161
"CNPY2"	0.979754439005667	0.00902706084213608	0.0152067233459681
"ATXN1-AS1"	1.3440931079087	0.00903790342065948	0.0152169752856262
"TSPAN5"	1.00841409736768	0.00910604652752155	0.0153236416841354
"PNRC1"	1.16269919769787	0.00919470187707762	0.0154616020368443
"NUS1"	1.67857380257286	0.00919769574120498	0.0154616020368443
"SLC7A1"	0.996158739079717	0.00921702022470158	0.0154859494216494
"TANGO6"	0.878678595355377	0.0092284499951581	0.015497013928877
"KBTBD11"	0.989041364902859	0.00925644621764884	0.0155358716947842
"CCNI"	1.79817039032084	0.00931910542849163	0.0156328360072075
"FAM174A"	-0.991819780565548	0.0093793444745979	0.0157256409718232
"BMERB1"	0.809305934076544	0.0094234444532529	0.0157913037223447
"PGP"	-0.730668938899728	0.00945882614391956	0.0158422957248161
"RTN4R"	-0.737721829097504	0.00947287846823843	0.0158575291574541
"SMYD5"	0.913423970934061	0.00948179867423885	0.01586416002034
"B4GALT7"	0.742977517768113	0.00954178441688106	0.015956177914063
"TMEM258"	0.833547401273785	0.00957420449512274	0.0160020272622245
"L2HGDH"	1.1959904911357	0.00964934412716091	0.0161191915732573
"SPTSSA"	1.40233677235026	0.0097125965267842	0.0162163863722248
"TOMM34"	-0.892956253841697	0.00973740317761041	0.0162493232995178
"SARS1"	1.01373482579305	0.00977168330803624	0.0162980265393159
"CENPBD1P1"	0.760232043479918	0.0097814930458725	0.0163058865313945
"ITM2B"	-1.19016910681086	0.00990299304472969	0.0164998305990054
"WDR41"	1.11017090270577	0.00992057712651656	0.0165205238041262
"GPLD1"	0.863099410134271	0.00993344335183436	0.0165333430190001
"TPST1"	1.03630614151041	0.00995328564407639	0.0165577539133647
"EIF3G"	0.864002514182006	0.00998263924612632	0.0165846682684087
"USP27X"	0.905666544363738	0.00998512520414423	0.0165846682684087
"FBRS"	0.848300786380316	0.00998808978879008	0.0165846682684087
"RNASEH2C"	0.873796839473069	0.00999024985673632	0.0165846682684087
"IER3IP1"	1.1529882538328	0.00999538618990057	0.0165846682684087
"MED16"	0.867093966315212	0.010048214792664	0.0166636802082593
"ZNF721"	1.54689489176855	0.0101413791991539	0.0168094673876131
"ZDHHC5"	0.723244963146765	0.0101753510039355	0.0168561754630935
"ACBD7"	-1.7604008373204	0.0101800972162228	0.0168561754630935
"OXA1L"	0.78272897575743	0.0102533731331094	0.0169687225312038
"KCNG1"	0.923897775135542	0.0103077379758236	0.0170498726911374
"ATP6V1C1"	-1.17258768747821	0.0103839831969795	0.0171671122724225
"TSPAN13"	1.08380925824728	0.0104010297591894	0.017186412293206
"SEL1L"	1.27850488463968	0.0104886432246823	0.0173222352481975
"SLC1A1"	1.36326481711709	0.0105527261697037	0.0174190768920961
"ZMYM6"	1.10688376025306	0.0105986662009736	0.0174858861149637
"RAB3GAP2"	1.19101259745819	0.0106184750671301	0.0175095369792522
"FBXL15"	-0.715142582932449	0.0107023039929699	0.0176306221198075
"DIPK1B"	0.720800853161817	0.0107029284641032	0.0176306221198075
"EIF1AX"	1.29114738909606	0.0107487121326664	0.0176969274896551
"MRPL17"	0.805241872599995	0.0108099080143879	0.0177795640123697
"OSBPL7"	0.840553472330871	0.0108100193823254	0.0177795640123697
"PPP6R1"	-0.709457087585252	0.0109100093365074	0.0179347995208054
"ZFHX4"	2.55670635624595	0.0109463210412921	0.0179852496204897
"FBN1"	1.15038053075656	0.0109989143405013	0.0180547212153559
"MRPL41"	-0.873505013471553	0.0109998911061984	0.0180547212153559
"C1GALT1"	1.31087699305186	0.0110702822455825	0.0181609399505736
"FAF1"	1.07595517594098	0.0111017549394345	0.0182032363153517
"KLHL11"	1.22188289816992	0.0112071028248347	0.0183665583691834
"SLC38A10"	0.827604241406715	0.01121833295111	0.0183755489557608
"KHDRBS3"	1.14151592695331	0.0112269409522592	0.0183802375160067
"RBMS2"	1.1234652675598	0.0112867651920139	0.0184687272886201
"HSPA5"	1.05255453565012	0.0112992189836664	0.0184796531333072
"JPH3"	-0.907082697311136	0.0113595956392202	0.018568904675455
"TMEM170B"	1.6752559102695	0.01138231519169	0.0185965404995998
"CCDC85C"	0.758928988457175	0.0114676531613109	0.0187264024824061
"GABARAP"	0.909750609123757	0.0115256549515745	0.0188106432390196
"ATXN1L"	0.740709416479335	0.0115310007476453	0.0188106432390196
"HNRNPUL2"	0.941262730966484	0.0115399185058293	0.0188155959735719
"THAP11"	0.788814790801874	0.0115461069301119	0.0188160958071463
"APPL1"	1.19598587154515	0.0115583716120197	0.0188264922539974
"ATP13A1"	0.792232718677809	0.0116250255029154	0.0189254231978761
"VPS25"	0.797736358702687	0.0117345657575133	0.0190940365505011
"RNF215"	0.738648972882055	0.0118898001656892	0.0193299074231318
"MCF2L2"	-1.84635324296771	0.0118916091930989	0.0193299074231318
"PREP"	0.990926624270801	0.0119119396797972	0.0193531208916564
"SNN"	0.80387412201078	0.0119597764702281	0.019420977120944
"DPP7"	-1.22883550628736	0.0119797635836929	0.0194400644820561
"GTF2F2"	1.40940882038235	0.0119836846385166	0.0194400644820561
"GPATCH3"	0.695109339091655	0.0120343917603413	0.0195124273904368
"RABIF"	0.877874231368962	0.0120796150213799	0.0195591713429538
"ATP6V1G1"	0.79766378074771	0.0120813976609282	0.0195591713429538
"LPCAT4"	-0.765366591484742	0.0120815637929593	0.0195591713429538
"CERK"	0.974000490702945	0.0121093282878099	0.0195942039416812
"ENGASE"	0.915883882875194	0.0121616150121445	0.0196688606793984
"JAG1"	1.10443602840106	0.0121803467786111	0.0196814614916181
"EIF1"	0.973645921214434	0.012181711082652	0.0196814614916181
"CC2D1A"	0.767778481400061	0.0122166793164678	0.0197279945145787
"NBDY"	1.08609981035359	0.0122447956966073	0.0197634215103163
"GPS2"	0.767198072014819	0.01225894853966	0.0197762866255029
"ATP6V1B2"	-0.931064728307519	0.0123922740270663	0.0199768340871208
"PGM2L1"	1.64663060863953	0.012395753567657	0.0199768340871208
"MSN"	1.36162937592271	0.0124429434449016	0.0200427875529911
"CAT"	1.2781529503873	0.0125406578089285	0.0201900172776862
"FBXL3"	1.01828950010274	0.0126178703037131	0.020304108199989
"HCN1"	-1.30866316469464	0.0126575346211251	0.0203489526872543
"ARHGAP23"	0.943828585428389	0.0126584607213617	0.0203489526872543
"CDS1"	-1.18305366657523	0.0126949683347984	0.0203973901069916
"CIR1"	0.999521703569423	0.0127137735534019	0.0204173501994642
"TIMM22"	0.779995133885336	0.0127415236792441	0.0204516478925749
"PGRMC2"	1.1378364765544	0.0128074640907104	0.0205471803541538
"B4GALNT1"	0.993197919922689	0.0129271700981456	0.0207288306486054
"FAM200B"	1.37961417175242	0.0129537976267828	0.0207507044728252
"SPAG5"	1.77045534268628	0.0129564669655914	0.0207507044728252
"ATIC"	0.787544161728973	0.0129602711899671	0.0207507044728252
"SLC30A4"	1.45965370881495	0.0129789243502456	0.0207701745855106
"CLK4"	1.06253000755826	0.0131139521965441	0.0209757665383723
"CRIPT"	1.1908795228754	0.0131487084047987	0.021020848669141
"SGTA"	0.770791009940927	0.0132021554558481	0.0210957518997294
"SCG2"	-2.27655930228617	0.0132724840565271	0.0211975419355118
"PEX3"	1.07041098661326	0.0133259271041883	0.0212663659978881
"STOX2"	1.7997978438326	0.0133288727182762	0.0212663659978881
"ERG28"	1.00789867006732	0.0133871947972693	0.0213487717629434
"LPIN2"	0.890277429203745	0.0134663405027624	0.0214642866309601
"DBT"	1.02000648317948	0.0134983205200173	0.0215045454898084
"TMEM240"	0.722059515841948	0.0135101807028055	0.0215127267637007
"TIMM21"	0.839714062715836	0.013561256982203	0.0215833139731679
"GPBP1L1"	0.930009253479513	0.0135736543056974	0.0215923023987698
"PSMB1"	1.01569122215007	0.0136551260620668	0.0217111074913279
"DENR"	0.948892712642543	0.0137171961140812	0.0217989619319154
"DNAJC3"	0.997152894079894	0.0137691432071101	0.0218706500097047
"HPRT1"	-1.38742879910455	0.0137949664866345	0.0219007929482599
"PPM1K"	1.02085986431711	0.0139224217364254	0.0220834103938624
"MTMR7"	0.914436889964819	0.0139238008016319	0.0220834103938624
"AASDHPPT"	1.55627645355204	0.0139512333260741	0.0221154836437812
"RAB14"	1.10791669814065	0.0139578497895574	0.0221154836437812
"MAN1A2"	1.23723372236813	0.0140570518771703	0.0222543985993803
"UBQLN2"	0.870532522803072	0.0140594371895429	0.0222543985993803
"HS3ST2"	-1.5854349612522	0.0141099113088655	0.0223232474169439
"MLLT1"	0.673518653888205	0.0141760021203615	0.0224167230761425
"ULK1"	0.770745672142716	0.0142258580591267	0.0224844466062975
"SMIM13"	1.56953201775189	0.0142679336682074	0.0225398122491829
"DPY19L4"	1.42017704990594	0.0143941477432392	0.0227279756320939
"ATP1B1"	-1.34801111437771	0.0146337657449849	0.0230907204760384
"ANAPC7"	0.913584915991377	0.0146383185762444	0.0230907204760384
"MRPL1"	1.05051254032921	0.0146467169205821	0.0230925812858266
"SNX25"	1.04362514258338	0.0146974659094131	0.0231611790365579
"B3GALT2"	1.35099953283682	0.0147185072935356	0.0231829171994192
