"gene name" "logFC"	"P.Value"	"adj.P.Val"
"LINC00865"	4.31706135977535	2.11982858579744e-06	5.2086526254602e-05
"MACROH2A2"	3.32805928104764	2.13853420174281e-06	5.2086526254602e-05
"PHC1"	2.77807399058354	2.16767917967701e-06	5.2086526254602e-05
"ZBTB39"	2.6411099375364	2.19396282424087e-06	5.2086526254602e-05
"RPL10A"	2.67903796136155	2.19622705497573e-06	5.2086526254602e-05
"TSTD2"	2.9125656614459	2.21565347013776e-06	5.2086526254602e-05
"LINC01000"	2.91425189929804	2.22473747632422e-06	5.2086526254602e-05
"MAST3"	-2.7713380778719	2.23065148386386e-06	5.2086526254602e-05
"CELSR3"	2.91778545616657	2.3020244101527e-06	5.33635948411484e-05
"TET2"	3.39912112229624	2.34269111449589e-06	5.38119292769728e-05
"KCNK1"	-3.81891403652311	2.35500784581938e-06	5.38119292769728e-05
"LPL"	4.4779037488348	2.38738728463607e-06	5.3968661325226e-05
"MARCHF4"	3.20389853788212	2.40648414951107e-06	5.3968661325226e-05
"ZNF793"	3.82560394547963	2.42432992733904e-06	5.3968661325226e-05
"ZNF490"	2.80884457612646	2.44002951163989e-06	5.3968661325226e-05
"ZBTB5"	3.46346944919491	2.44621940986488e-06	5.3968661325226e-05
"ADAMTS10"	2.95673311396043	2.47076432142641e-06	5.41368155085144e-05
"TSHZ3"	3.34037474553536	2.53329935834105e-06	5.51294193696124e-05
"EPHB1"	3.11989067411555	2.60374104225367e-06	5.60486351650384e-05
"DLG5"	3.30734258479722	2.61058038124124e-06	5.60486351650384e-05
"DCAF7"	2.69298361655388	2.66865088996776e-06	5.69134279800457e-05
"SMURF2"	2.92769650294152	2.70146594331656e-06	5.71174726365268e-05
"UBXN7"	3.48555658831608	2.72721373778592e-06	5.71174726365268e-05
"PRKX"	3.95507993673053	2.743864997967e-06	5.71174726365268e-05
"RRP1B"	2.70382403739049	2.74963763239298e-06	5.71174726365268e-05
"CRMP1"	3.60819889807843	2.77351951410992e-06	5.71299337961962e-05
"PALMD"	3.49626910542941	2.78595488346565e-06	5.71299337961962e-05
"KDM4B"	2.47523780854246	2.90219434296963e-06	5.87212980773868e-05
"CCDC71L"	4.40512634484826	2.90619957440599e-06	5.87212980773868e-05
"LINC01551"	4.40670231250991	2.91862656902298e-06	5.87212980773868e-05
"GPR173"	2.57979215902943	2.97468970809882e-06	5.94752023513008e-05
"DOT1L"	3.16130261644714	3.04747397565107e-06	5.97556889732104e-05
"ZNF738"	4.50802097307345	3.05871458540875e-06	5.97556889732104e-05
"OLFM1"	-3.47429027459314	3.07530578286719e-06	5.97556889732104e-05
"EIF4EBP2"	2.59140874733997	3.07845628847822e-06	5.97556889732104e-05
"SVBP"	2.65008923377133	3.08211587389175e-06	5.97556889732104e-05
"HNRNPA0"	2.7460748158467	3.13225795855254e-06	5.99497987323686e-05
"ZNF766"	2.84555801917698	3.14230773325744e-06	5.99497987323686e-05
"RPS8"	3.35824901492905	3.14834829229069e-06	5.99497987323686e-05
"ZMIZ1"	2.57081143285573	3.23731865032535e-06	6.11941458202691e-05
"ZXDC"	2.49676260174696	3.25195523271202e-06	6.11941458202691e-05
"PAK2"	3.39607578966754	3.30264527778988e-06	6.16654117665291e-05
"GRIK3"	2.55921881319088	3.32942907100777e-06	6.16654117665291e-05
"GPR153"	2.92840219350558	3.33482845752095e-06	6.16654117665291e-05
"RBM15B"	2.43078542358116	3.46687731973676e-06	6.35809003304234e-05
"MIR124-1HG"	2.52286386066422	3.47816741413695e-06	6.35809003304234e-05
"FGD1"	2.59326269091387	3.55835606605508e-06	6.46771650869897e-05
"RPL23"	3.03306071771942	3.58813905850455e-06	6.48500386901473e-05
"MCM6"	2.88321964595397	3.60858401080391e-06	6.48531474750657e-05
"CENPV"	2.78444250257853	3.64220458351512e-06	6.5091689735558e-05
"EHD3"	-2.77109070440584	3.90416164595763e-06	6.93291306304527e-05
"ACVR2B"	3.52207221449646	3.94370335413126e-06	6.93291306304527e-05
"LCOR"	3.22831018090773	4.01352721544843e-06	6.93291306304527e-05
"GPRIN1"	2.57038793892621	4.01987745843512e-06	6.93291306304527e-05
"SH3RF3"	2.52640386164154	4.0293691081426e-06	6.93291306304527e-05
"ASXL3"	4.52709447560172	4.05053575540189e-06	6.93291306304527e-05
"JMJD6"	2.69174568597108	4.05469681251143e-06	6.93291306304527e-05
"PVRIG"	3.43427052287951	4.07070292008907e-06	6.93291306304527e-05
"RPS5"	3.07063278522522	4.10089676496465e-06	6.93291306304527e-05
"GEMIN4"	2.49879525812962	4.10448735292902e-06	6.93291306304527e-05
"SMIM10L2B"	-3.33112197363989	4.11770391365615e-06	6.93291306304527e-05
"LINC00342"	3.62241435423621	4.1461981496561e-06	6.94433920458107e-05
"MEAK7"	2.39823046606901	4.22508771415629e-06	7.02155396002784e-05
"SMPD3"	2.66025861333961	4.23891934332211e-06	7.02155396002784e-05
"ICAM5"	-4.29732516095567	4.2581477594417e-06	7.02155396002784e-05
"PHF2"	2.42779794765794	4.30955923129434e-06	7.04366152404182e-05
"ZBTB34"	4.06524519731239	4.31559130575866e-06	7.04366152404182e-05
"ZNF736"	2.98079880049129	4.41733407444789e-06	7.17312269246639e-05
"IVNS1ABP"	2.97738344684357	4.485614028197e-06	7.21060639060788e-05
"SHB"	2.71246293270905	4.50185734967336e-06	7.21060639060788e-05
"SPEN"	2.72526544724498	4.5223072585515e-06	7.21060639060788e-05
"RPS4X"	3.21785157624542	4.5305779447083e-06	7.21060639060788e-05
"RBM12B"	3.12964757791781	4.66570785619841e-06	7.38499615087702e-05
"RNF169"	3.06456248110454	4.70444705030399e-06	7.38499615087702e-05
"EIF3F"	2.80681966525561	4.70940673578904e-06	7.38499615087702e-05
